鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,坐落基地,建照核發日期,建造執照,第1次登記日期,編號
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,BUILDINGPERMITDATE,BUILDINGPERMITNO,FIRST REGISTRATION DATE,NUMBER
中正區,國雄中正,中華路二段381巷15弄2號3樓 共28筆,總業建設股份有限公司,89,第三種住宅區(特),住家用,鋼筋混凝土造,1100929,自售:無;代銷:1100506~�;,永昌段五小段142-1地號,1100128,110建字第0027號,,RPQNMLTLRHGGFDA88CG
士林區,璞知溪,中山北路六段405巷45弄8號,台新建築經理股份有限公司,40,第三種住宅區,住家用,鋼筋混凝土造,1100929,自售:無;代銷:1100413~1141231;,天母段一小段230地號,1100914,110建字第0223號,1140703,RPPNMLTLRHGGFDA78CG
松山區,揚昇君隆,南京東路五段23巷9弄,楊昇建設股份有限公司,131,第三種住宅區,住商用、停車空間,鋼骨造,1101008,自售:1100920~1180612;含停車空間72位;代銷:1100920~1100919;含停車空間50位;,西松段一小段742地號,1100910,110建字第0221號,,QPSNMLSJIIGGFDA97DG
文山區,忠泰湛,木新里開元街47號,忠泰建設股份有限公司,117,第三種商業區,住商用,RC造,1101008,自售:無;代銷:1101101~1111031;,木柵段一小段171地號,1090918,109建字第0212號,,QPSNMLSJIIGGFDA87CG
北投區,龍霖初心,石牌路二段315巷21號等8筆,龍霖開發建設股份有限公司(負責人:李建霖),82,第三種住宅,集合式住宅,RC,1101013,自售:無;代銷:1101001~1120630;,崇仰段三小段183地號,1100909,110建字第0220號,,QPPNMLNKIIGGFDA17CG
士林區,樂行館,永倫里永平街臨85號,三樂建設股份有限公司等18名,104,第三種住宅區,住商用,鋼筋混凝土造,1101014,自售:無;代銷:1100301~1110228;,永平段三小段2-2地號,1101008,110建字第0247號,,QPSNMLOKIIGGFDA57CG
大同區,大承,南京西路,弘千建設股份有限公司,125,特定專用區（二）、第三種商業區,住商用,鋼骨鋼筋混凝土造,1101020,自售:無;代銷:1100119~1131231;,玉泉段二小段40地號,1100915,110建字第0226號,,QPQNMLKLIIGGFDA17DG
中山區,日安吉林,吉林路22巷13、11號,鉅興建設開發股份有限公司,13,第三種住宅區,集合住宅,鋼筋混凝土造,1101021,自售:無;代銷:1101001~1110331;,長安段三小段672地號,1100911,110建字第0222號,,WPQNMLLLIIGGFDA77CG
大安區,青田618,青田街6巷14號,潤泰建設股份有限公司,55,第三種住宅區,店舖、教會、住宅,鋼筋混凝土造,1101021,自售:無;代銷:1101001~自完售止;110/10/01~售完並全數過戶交屋為止;,金華段二小段244地號,1090629,109建字第0135號,1130216,RPPNMLLLIIGGFDA17CG
萬華區,華穗,大理街133巷10、12號,華南金資產管理(股)公司,67,特定專用區(一),集合住宅,鋼筋混凝土造,1101022,自售:即日起至領得使用執照日止;代銷:領得建造執照後7個月止;,華江段三小段380地號,1101014,110建字第0250號,,G2A01101022000203
信義區,全坤x101,光復南路485，487，489，491號,財團法人台北市都市更新推動中心  負責人:彭振聲等2名,84,第三種商業區(原屬第二種商業區),住商用,鋼筋混凝土,1101025,自售:無;代銷:1100428~自完售止;自簽訂本合約日起至建照取得後六個月止;,三興段一小段972地號,1101020,110建字第0257號,,QPPNMLPLIIGGFDA47CG
北投區,富域,中央南路一段81號等24筆,麗源建設股份有限公司,201,第三種商業區,住商用,鋼骨鋼筋混凝土造,1101026,自售:無;代銷:1100830~1120531;,溫泉段四小段533-4地號,1090316,109建字第0066號,,RPQNMLQLIIGGFDA77CG
中山區,中山?吉美,聚盛里錦州街30巷,吉美建設事業股份有限公司,197,第四種商業區,住商用,鋼骨鋼筋混凝土造,1101027,自售:無;代銷:1110401~自完售止;1110401至全案完銷;,中山段三小段57地號,1100420,110建字第0096號,,VPPNMLRLIIGGFDA18CG
萬華區,華造峰格,康定路255號等3筆,臺億建築經理股份有限公司,23,第三種商業區,住家用、住商用,鋼骨鋼筋混凝土造,1101027,自售:無;代銷:1101001~1110930;,萬華段二小段423地號,1060906,106建字第0160號,1110412,G2A01101027000100
文山區,和暘W,景中街18號旁,和暘建設股份有限公司,205,第三種商業區,住商用,鋼筋混凝土造,1101029,自售:1121101~1161231;代銷:1100205~自完售止;110年2月5日起至使用執照取得後十二個月;,景美段五小段341地號,1101025,110建字第0262號,,G1A01101029000201
中正區,紀州樂章,金門街44巷6弄7號  共4筆,台灣金融聯合都市更新服務股份有限公司 負責人 林旺根,18,第三種住宅區,住家用,鋼筋混泥土,1101031,自售:1110121~1110731;,河堤段三小段687地號,1100401,110建字第0085號,1140619,RPQNMLLMIIGGFDA47DG
內湖區,悅己誠群,大湖街158巷6號,誠群建設股份有限公司,6,第二種住宅區,住家用,鋼筋混凝土造,1101102,自售:1120301~1130831;,康寧段一小段354地號,1101012,110建字第0249號,1141014,G1A01101102000105
北投區,璞玥,石牌里致遠一路一段,璞全建設股份有限公司,47,第三種住宅區,一般零售業甲組，集合住宅,鋼筋混凝土造,1101103,自售:無;代銷:起始日110.06.22起至使用執照取得日止;,文林段三小段397地號,1101005,110建字第0239號,,RPPNMLNJJIGGFDA27CG
大安區,耑序,建安里敦化南路一段187巷,大陸建設股份有限公司,61,第四種住宅區,住商用,鋼骨造,1101103,自售:無;代銷:1100730~自完售止;110年7月30日起至雙方協議進場銷售日起算24個月;,仁愛段六小段418-1地號,1100922,110建字第0228號,,SPPNMLNJJIGGFDA47DG
大同區,嘉源埕驛,延平北路一段66巷8號,嘉源建設股份有限公司,4,第三種商業區,集合住宅,鋼筋混凝土,1101108,自售:無;代銷:1100323~1110130;,玉泉段二小段305地號,1100709,110建字第0169號,,G2A01101108000100
士林區,璞詠川,明勝里承德路四段6巷,僑馥建築經理股份有限公司,27,第三種住宅區,集合住宅,RC造,1101109,自售:無;代銷:1100714~1131231;,百齡段六小段318地號,1101022,110建字第0259號,1131004,RPPNMLTJJIGGFDA97DG
松山區,吉美艾麗,慈祐里八德路四段,吉美建設事業股份有限公司（負責人：蔡郁君）,105,第三種商業區,住商用、宗祠及宗教建築,鋼筋混凝土造,1101112,自售:無;代銷:1101101~自完售止;110年11月01日至使用執照取得後1年為有效期間;,寶清段二小段238-5地號,1101029,110建字第0271號,,WPPNMLMKJIGGFDA77CG
信義區,全坤X101,光復南路485，487，489，491號,財團法人台北市都市更新推動中心  負責人:彭振聲等2名,84,第三種商業區(原屬第二種商業區),住商用,鋼筋混凝土造,1101116,自售:無;代銷:自簽訂本合約日起至113.02.29日止;,三興段一小段972地號,1101020,110建字第0257號,,QPQNMLQKJIGGFDA77DG
北投區,馥御中央,中央北路二段215號~225號,品嘉建設股份有限公司,50,第三種住宅區,住商用,鋼筋混凝土造,1101119,自售:1101101~1131101;,豐年段二小段382地號,1100817,110建字第0202號,1140224,VPPNMLTKJIGGFDA48DG
士林區,日日好日,德行東路260巷,台新建築經理股份有限公司,51,第三種住宅區,第三種住宅區,鋼筋混凝土造,1101124,自售:無;代銷:1091109~1120630;銷售期間為簽約日起至使用執照核發取得後十二個月，如有需要，甲、乙雙方再另立協議延長銷售期間。;,芝蘭段四小段130地號,1060808,台北市106建字第0137號,1110926,G2A01101124000100
內湖區,輕山?,環山路二段50巷14弄21號共2筆,姮興開發股份有限公司 負責人:賴偉琨,13,第二種住宅區,集合住宅. 日常用品零售業,RC造,1101130,自售:無;代銷:1100720~1120719;,碧湖段四小段962地號,1101112,110建字第0290號,,VPPNMLKMJIGGFDA67CG
中山區,璞真之道,聚盛里中山北路二段,璞真建設股份有限公司,63,第肆種商業區,住家用、一般零售業、金融保險業、餐飲業、管委會使用空間,鋼骨造,1101201,自售:無;代銷:1101008~�;,中山段三小段111地號,1101007,110建字第0243號,,TPPNMLLJKIGGFDA47DG
大同區,日新好好,太原路142之12號1樓共8筆,義華建設開發有限公司等2筆,37,第三種商業區,住家用、店鋪用,鋼筋混凝土造,1101201,自售:1130301~1150131;代銷:1101110~1111109;原代銷戶 數14戶，已銷售10戶;,圓環段三小段336地號,1101110,110建字第0287號,,WPRNMLLJKIGGFDA97DG
萬華區,萬錦,民和街,民凱建設股份有限公司 負責人:黃振峰,146,第三種住宅區,一般零售業甲組、多戶住宅,鋼筋混凝土造,1101201,自售:無;代銷:1110101~1121231;,萬大段一小段519-2地號,1080918,108建字第0171號,,WPQNMLLJKIGGFDA87DG
